Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S12000033,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,14.957147130181074
2011,S12000033,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,240.45181687455587
2011,S12000033,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,79.41466706939498
2011,S12000033,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,701.4230445148457
2011,S12000033,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,940.4357848516566
2011,S12000034,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000034,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000034,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,8.21183907997267
2011,S12000034,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,15.99547590127293
2011,S12000034,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,125.6661992779214
2011,S12000034,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,79.97126899722247
2011,S12000034,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,868.1737726722185
2011,S12000034,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1029.722649614945
2011,S12000035,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000035,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000035,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,34.18123728164269
2011,S12000035,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,27.610219200088217
2011,S12000035,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,137.58254437565034
2011,S12000035,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,107.48804082113412
2011,S12000035,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1386.3271804448275
2011,S12000035,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1083.151800055945
2011,S12000036,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,0.7753432001293716
2011,S12000036,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,0.7935698171388407
2011,S12000036,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,16.68935251603877
2011,S12000036,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,12.098932931558604
2011,S12000036,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,123.98051139550996
2011,S12000036,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,80.91412075794159
2011,S12000036,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,623.8837570388818
2011,S12000036,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,796.7325823065469
2011,S12000038,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000038,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,2.2935178632277005
2011,S12000038,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,43.60748535862736
2011,S12000038,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,20.42843777645986
2011,S12000038,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,174.0319438292514
2011,S12000038,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,195.2779927113182
2011,S12000038,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1411.9048328247711
2011,S12000038,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1170.921608963169
2011,S12000039,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,13.301321176260862
2011,S12000039,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000039,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,32.69197738933088
2011,S12000039,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,14.230399994601497
2011,S12000039,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,232.5817048505986
2011,S12000039,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,113.91207743139074
2011,S12000039,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1393.2164574988324
2011,S12000039,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,681.9558888027198
2011,S12000040,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,2.1363413018863895
2011,S12000040,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,1.9730537234342411
2011,S12000040,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,27.72765190190875
2011,S12000040,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,12.137025422347184
2011,S12000040,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,133.62421130735362
2011,S12000040,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,79.30499856290884
2011,S12000040,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,756.0240696508671
2011,S12000040,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1183.7583120196302
2011,S12000041,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000041,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.84201629014907
2011,S12000041,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,16.960989685780458
